Date : 2023-09-22 10:35:27
Directory : c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src
Total : 92 files,  5669 codes, 210 comments, 627 blanks, all 6506 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         92 |      5,669 |        210 |        627 |      6,506 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         92 |      5,669 |        210 |        627 |      6,506 |
| common_widgets                                                                                                    |          7 |        251 |          1 |         28 |        280 |
| common_widgets\authentication                                                                                     |          3 |        137 |          1 |         15 |        153 |
| common_widgets\buttons                                                                                            |          1 |         21 |          0 |          3 |         24 |
| common_widgets\decoration                                                                                         |          2 |         48 |          0 |          6 |         54 |
| common_widgets\tiles                                                                                              |          1 |         45 |          0 |          4 |         49 |
| constants                                                                                                         |          6 |        260 |         21 |         31 |        312 |
| features                                                                                                          |         55 |      3,792 |         70 |        386 |      4,248 |
| features\authentication                                                                                           |         13 |        908 |         55 |        101 |      1,064 |
| features\authentication\controllers                                                                               |          4 |        173 |         19 |         29 |        221 |
| features\authentication\screens                                                                                   |          9 |        735 |         36 |         72 |        843 |
| features\authentication\screens\landing                                                                           |          1 |        135 |          5 |         12 |        152 |
| features\authentication\screens\login                                                                             |          3 |        221 |          7 |         20 |        248 |
| features\authentication\screens\mail_verification                                                                 |          1 |         99 |          0 |          6 |        105 |
| features\authentication\screens\signup                                                                            |          3 |        235 |         24 |         24 |        283 |
| features\authentication\screens\splash                                                                            |          1 |         45 |          0 |         10 |         55 |
| features\generators                                                                                               |         16 |      1,231 |         12 |        132 |      1,375 |
| features\generators\models                                                                                        |          2 |         42 |          6 |          9 |         57 |
| features\generators\screens                                                                                       |         14 |      1,189 |          6 |        123 |      1,318 |
| features\generators\screens\chat_generator                                                                        |          5 |        478 |          6 |         52 |        536 |
| features\generators\screens\image_generator                                                                       |          9 |        711 |          0 |         71 |        782 |
| features\home                                                                                                     |          9 |        615 |          0 |         58 |        673 |
| features\home\models                                                                                              |          2 |          8 |          0 |          4 |         12 |
| features\home\screens                                                                                             |          1 |        115 |          0 |         11 |        126 |
| features\home\widgets                                                                                             |          6 |        492 |          0 |         43 |        535 |
| features\menu                                                                                                     |          5 |        303 |          0 |         33 |        336 |
| features\menu\screens                                                                                             |          1 |        119 |          0 |         14 |        133 |
| features\menu\widgets                                                                                             |          4 |        184 |          0 |         19 |        203 |
| features\profile                                                                                                  |          6 |        428 |          1 |         34 |        463 |
| features\profile\edit_profile                                                                                     |          4 |        267 |          1 |         23 |        291 |
| features\profile\screens                                                                                          |          1 |        138 |          0 |          8 |        146 |
| features\profile\widgets                                                                                          |          1 |         23 |          0 |          3 |         26 |
| features\settings                                                                                                 |          6 |        307 |          2 |         28 |        337 |
| features\settings\about_us                                                                                        |          2 |         89 |          0 |          8 |         97 |
| features\settings\appearance                                                                                      |          1 |         72 |          0 |          8 |         80 |
| features\settings\screens                                                                                         |          2 |        104 |          0 |          9 |        113 |
| features\settings\widgets                                                                                         |          1 |         42 |          2 |          3 |         47 |
| providers                                                                                                         |          2 |        106 |         34 |         27 |        167 |
| repository                                                                                                        |          3 |        251 |         19 |         35 |        305 |
| repository\authentication_repository                                                                              |          3 |        251 |         19 |         35 |        305 |
| services                                                                                                          |          5 |        307 |         38 |         56 |        401 |
| utils                                                                                                             |         14 |        702 |         27 |         64 |        793 |
| utils (Files)                                                                                                     |          1 |         21 |          0 |          5 |         26 |
| utils\alert_dialog                                                                                                |          2 |        262 |          0 |          8 |        270 |
| utils\app_bar                                                                                                     |          1 |        103 |          0 |         10 |        113 |
| utils\random_id                                                                                                   |          1 |         40 |          0 |          2 |         42 |
| utils\rive                                                                                                        |          2 |         24 |          0 |          8 |         32 |
| utils\snack_bar                                                                                                   |          1 |         54 |          3 |          4 |         61 |
| utils\theme                                                                                                       |          6 |        198 |         24 |         27 |        249 |
| utils\theme (Files)                                                                                               |          1 |         56 |         15 |         13 |         84 |
| utils\theme\widget_theme                                                                                          |          5 |        142 |          9 |         14 |        165 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\authentication\auth_supplier_button.dart                  | Dart     |         44 |          0 |          4 |         48 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\authentication\auth_text_field.dart                       | Dart     |         64 |          1 |          6 |         71 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\authentication\form_header_widget.dart                    | Dart     |         29 |          0 |          5 |         34 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\buttons\button_loading_widget.dart                        | Dart     |         21 |          0 |          3 |         24 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\decoration\background_full_brainy.dart                    | Dart     |         20 |          0 |          3 |         23 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\decoration\background_logo_brainy.dart                    | Dart     |         28 |          0 |          3 |         31 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\common_widgets\tiles\menu_tiles.dart                                     | Dart     |         45 |          0 |          4 |         49 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\constants\api_constants.dart                                             | Dart     |          2 |          0 |          1 |          3 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\constants\bool_constants.dart                                            | Dart     |         84 |          0 |          2 |         86 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\constants\colors.dart                                                    | Dart     |         17 |          6 |          8 |         31 |
| c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\constants\constants.dart                                                 | Dart     |          4 |          0 |          1 |          5 |
